Employee ID,Employee Name,Leave Type,Start Date,End Date,Leave Duration,Leave Status,Approval Status
EMP01,'sujit',half day,2021-06-01,2021-06-01,0.5,Approved
EMP01,'sujit',half day,2021-06-02,2021-06-02,0.5,Rejected
EMP01,'sujit',half day,2021-06-03,2021-06-03,0.5,Rejected
EMP01,'sujit',half day,2021-06-04,2021-06-04,0.5,Rejected
EMP01,'sujit',full day,2021-06-05,2021-06-05,1,Approved
EMP01,'sujit',full day,2021-06-06,2021-06-06,1,Approved
EMP01,'sujit',full day,2021-06-07,2021-06-07,1,Approved
EMP01,'sujit',full day,2021-06-08,2021-06-08,1,Approved
EMP01,'sujit',half day,2021-06-09,2021-06-09,0.5,Approved
EMP01,'sujit',half day,2021-06-10,2021-06-10,0.5,Approved
EMP01,'sujit',half day,2021-06-11,2021-06-11,0.5,Approved
EMP01,'sujit',half day,2021-06-12,2021-06-12,0.5,Approved
EMP01,'sujit',full day,2021-06-13,2021-06-13,1,Rejected
EMP01,'sujit',full day,2021-06-14,2021-06-14,1,Rejected
EMP01,'sujit',full day,2021-06-15,2021-06-15,1,Rejected
EMP01,'sujit',full day,2021-06-16,2021-06-16,1,Rejected
EMP01,'sagar',half day,2021-06-01,2021-06-01,0.5,Approved
EMP01,'sagar',half day,2021-06-02,2021-06-02,0.5,Rejected
EMP01,'sagar',half day,2021-06-03,2021-06-03,0.5,Rejected
EMP01,'sagar',half day,2021-06-04,2021-06-04,0.5,Rejected
EMP01,'sagar',full day,2021-06-05,2021-06-05,1,Approved
EMP01,'sagar',full day,2021-06-06,2021-06-06,1,Approved
EMP01,'sagar',full day,2021-06-07,2021-06-07,1,Approved
EMP01,'sagar',full day,2021-06-08,2021-06-08,1,Approved
EMP01,'sagar',half day,2021-06-09,2021-06-09,0.5,Approved
EMP01,'sagar',half day,2021-06-10,2021-06-10,0.5,Approved
EMP01,'sagar',half day,2021-06-11,2021-06-11,0.5,Approved
EMP01,'sagar',half day,2021-06-12,2021-06-12,0.5,Approved
EMP01,'sagar',full day,2021-06-13,2021-06-13,1,Rejected
EMP01,'sagar',full day,2021-06-14,2021-06-14,1,Rejected
EMP01,'sagar',full day,2021-06-15,2021-06-15,1,Rejected
EMP01,'sagar',full day,2021-06-16,2021-06-16,1,Rejected
EMP01,'suraj',half day,2021-06-01,2021-06-01,0.5,Approved
EMP01,'suraj',half day,2021-06-02,2021-06-02,0.5,Rejected
EMP01,'suraj',half day,2021-06-03,2021-06-03,0.5,Rejected
EMP01,'suraj',half day,2021-06-04,2021-06-04,0.5,Rejected
EMP01,'suraj',full day,2021-06-05,2021-06-05,1,Approved
EMP01,'suraj',full day,2021-06-06,2021-06-06,1,Approved
EMP01,'suraj',full day,2021-06-07,2021-06-07,1,Approved
EMP01,'suraj',full day,2021-06-08,2021-06-08,1,Approved
EMP01,'suraj',half day,2021-06-09,2021-06-09,0.5,Approved
EMP01,'suraj',half day,2021-06-10,2021-06-10,0.5,Approved
EMP01,'suraj',half day,2021-06-11,2021-06-11,0.5,Approved
EMP01,'suraj',half day,2021-06-12,2021-06-12,0.5,Approved
EMP01,'suraj',full day,2021-06-13,2021-06-13,1,Rejected
EMP01,'suraj',full day,2021-06-14,2021-06-14,1,Rejected
EMP01,'suraj',full day,2021-06-15,2021-06-15,1,Rejected
EMP01,'suraj',full day,2021-06-16,2021-06-16,1,Rejected
